                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1027,                0.56686,                 1.0818,                0.94465,                0.93613,                 0.9681,                0.65895,                 1.1878,                0.45342,                 1.1013,               0.005545,               0.005545,               0.005545
                     48,                 1.1058,                0.56417,                 1.0814,                0.93998,                0.93868,                0.96652,                0.65926,                 1.1814,                0.45191,                 1.1006,               0.005446,               0.005446,               0.005446
                     49,                 1.1039,                0.56374,                 1.0807,                0.94043,                 0.9377,                0.96764,                0.66103,                 1.1779,                0.45061,                 1.0961,               0.005347,               0.005347,               0.005347
                     50,                 1.0973,                0.55918,                 1.0778,                0.94117,                0.93396,                0.96696,                0.66295,                 1.1751,                0.45059,                 1.0941,               0.005248,               0.005248,               0.005248
                     51,                  1.096,                0.55773,                 1.0767,                0.94007,                0.93583,                 0.9676,                0.66161,                  1.177,                0.44984,                 1.0948,               0.005149,               0.005149,               0.005149
                     52,                 1.0947,                0.55621,                 1.0763,                0.94033,                0.93489,                0.96806,                0.66201,                 1.1768,                0.44958,                  1.095,                0.00505,                0.00505,                0.00505
                     53,                 1.0855,                0.55116,                 1.0729,                0.94349,                0.93386,                0.96814,                0.66314,                 1.1758,                0.44913,                 1.0963,               0.004951,               0.004951,               0.004951
                     54,                 1.0871,                0.55149,                 1.0729,                0.94614,                0.93489,                0.96773,                0.66336,                 1.1756,                0.44842,                 1.0954,               0.004852,               0.004852,               0.004852
                     55,                 1.0793,                0.54525,                 1.0701,                0.94245,                 0.9358,                0.96844,                0.66203,                 1.1766,                0.44716,                 1.0965,               0.004753,               0.004753,               0.004753
                     56,                 1.0799,                0.54663,                 1.0711,                0.94092,                 0.9366,                0.96834,                0.66215,                 1.1743,                0.44705,                 1.0957,               0.004654,               0.004654,               0.004654
                     57,                 1.0754,                0.54202,                 1.0652,                0.94454,                0.93466,                0.96902,                0.66258,                 1.1749,                0.44607,                 1.0952,               0.004555,               0.004555,               0.004555
                     58,                 1.0724,                0.54095,                 1.0652,                0.94489,                0.93504,                0.96826,                0.66283,                 1.1753,                0.44716,                 1.0957,               0.004456,               0.004456,               0.004456
                     59,                 1.0707,                0.54042,                 1.0633,                 0.9454,                0.93367,                0.96851,                0.66359,                 1.1762,                  0.446,                 1.0948,               0.004357,               0.004357,               0.004357
                     60,                  1.068,                0.53636,                 1.0657,                0.94588,                0.93184,                  0.968,                0.66334,                 1.1775,                0.44502,                 1.0961,               0.004258,               0.004258,               0.004258
                     61,                 1.0618,                0.53263,                 1.0633,                0.94714,                0.93204,                0.96744,                0.66324,                 1.1748,                0.44489,                 1.0957,               0.004159,               0.004159,               0.004159
                     62,                 1.0627,                0.53026,                 1.0566,                0.94707,                0.93252,                0.96677,                0.66287,                 1.1751,                0.44504,                 1.0951,                0.00406,                0.00406,                0.00406
